"월성가축병원","경상북도 경주시 건천읍 내서로 1125",
"아마존동물병원","경기도 구리시 경춘로 128 (교문동)","031-556-6250",
"행복한동물병원","경기도 구리시 검배로 49 (수택동)","031-557-7588",
"토평","경기도 구리시 장자대로86번길 14-4 (수택동)","031-566-5800",
"래플즈 동물병원","경기도 구리시 동구릉로 120 (인창동)","031-563-7582",
"가람동물병원","경기도 구리시 건원대로 41 (인창동)","031-558-7582",
"펫가든 구리점 동물병원(위즈 펫)","경기도 구리시 동구릉로136번길 57 (인창동, 구리유통종합시장)","031-565-5275",
"구리 안심 동물병원","경기도 구리시 벌말로 186 (토평동)","569-8875",
"내친구동물병원","경기도 구리시 이문안로 105 (수택동)","031-568-0075",
"가온 동물병원","경기도 구리시 이문안로 138 (토평동,우신빌딩 1층)","031-568-8275",
"구리동물병원","경기도 구리시 검배로 36, 101동 (수택동,현주아이프렌드빌딩)","031-557-9009",
"명문종합동물병원","경기도 구리시 경춘로 188 (수택동)","031-5565-6253",
"애니케어동물병원","경기도 구리시 벌말로 104 (토평동)","031-567-7589",
"화순동물병원","","061-374-2649",
"사평동물병원","","061-372-6024",
"북면동물병원","전라남도 화순군 북면 원리길  6-17",
"나무동물병원","경기도 여주시 청심로 17-7 (하동)","031-885-7475",
"강산동물병원","경기도 여주시 홍문동 세종로 68-17",
"강아지와고양이동물병원","경기도 여주시 북내면 강문로 117","0318835199",
"쿨펫동물병원","경기도 여주시 세종로 151 (홍문동)","885-7588",
"중앙동물병원","경기도 구리시 동구릉로 30 (인창동)",
"시티종합동물병원","경기도 구리시 이문안로 15 (교문동)","031-555-7588",
"건국동물병원","경기도 구리시 이문안로 27 (교문동)","569-0277",
"아마존동물병원","경기도 구리시 경춘로 128 (교문동)","031-556-6250",
"행복한동물병원","경기도 구리시 검배로 49 (수택동)","031-557-7588",
"토평","경기도 구리시 장자대로86번길 14-4 (수택동)","031-566-5800",
"래플즈 동물병원","경기도 구리시 동구릉로 120 (인창동)","031-563-7582",
"가람동물병원","경기도 구리시 건원대로 41 (인창동)","031-558-7582",
"펫가든 구리점 동물병원(위즈 펫)","경기도 구리시 동구릉로136번길 57 (인창동, 구리유통종합시장)","031-565-5275",
"구리 안심 동물병원","경기도 구리시 벌말로 186 (토평동)","569-8875",
"내친구동물병원","경기도 구리시 이문안로 105 (수택동)","031-568-0075",
"가온 동물병원","경기도 구리시 이문안로 138 (토평동,우신빌딩 1층)","031-568-8275",
"구리동물병원","경기도 구리시 검배로 36, 101동 (수택동,현주아이프렌드빌딩)","031-557-9009",
"명문종합동물병원","경기도 구리시 경춘로 188 (수택동)","031-5565-6253",
"애니케어동물병원","경기도 구리시 벌말로 104 (토평동)","031-567-7589",
"화순동물병원","","061-374-2649",
"사평동물병원","","061-372-6024",
"북면동물병원","전라남도 화순군 북면 원리길  6-17",
"서종철동물병원","","061-372-3114",
"백남수동물병원","","061-373-7406",
"능주동물병원","","061-372-1019",
"아리랑동물병원","전라남도 화순군 화순읍 시장길 3 (덕성건설)",
"현대 동물병원","전라북도 장수군 장수읍 교촌로 47-3","063-351-3050",
"무진장축협동물병원","전라북도 장수군 장수읍 중동길 8","063-351-2391",
"제일동물병원",
"대동동물병원","전라북도 장수군 장계면 한들로 5-9","063-352-5998",
"행복한동물병원","경기도 구리시 검배로 49 (수택동)","031-557-7588",
"토평","경기도 구리시 장자대로86번길 14-4 (수택동)","031-566-5800",
"래플즈 동물병원","경기도 구리시 동구릉로 120 (인창동)","031-563-7582",
"가람동물병원","경기도 구리시 건원대로 41 (인창동)","031-558-7582",
"펫가든 구리점 동물병원(위즈 펫)","경기도 구리시 동구릉로136번길 57 (인창동, 구리유통종합시장)","031-565-5275",
"구리 안심 동물병원","경기도 구리시 벌말로 186 (토평동)","569-8875",
"내친구동물병원","경기도 구리시 이문안로 105 (수택동)","031-568-0075",
"가온 동물병원","경기도 구리시 이문안로 138 (토평동,우신빌딩 1층)","031-568-8275",
"구리동물병원","경기도 구리시 검배로 36, 101동 (수택동,현주아이프렌드빌딩)","031-557-9009",
"명문종합동물병원","경기도 구리시 경춘로 188 (수택동)","031-5565-6253",
"애니케어동물병원","경기도 구리시 벌말로 104 (토평동)","031-567-7589",
"화순동물병원","","061-374-2649",
"사평동물병원","","061-372-6024",
"북면동물병원","전라남도 화순군 북면 원리길  6-17",
"서종철동물병원","","061-372-3114",
"백남수동물병원","","061-373-7406",
"능주동물병원","","061-372-1019",
"아리랑동물병원","전라남도 화순군 화순읍 시장길 3 (덕성건설)",
"현대 동물병원","전라북도 장수군 장수읍 교촌로 47-3","063-351-3050",
"무진장축협동물병원","전라북도 장수군 장수읍 중동길 8","063-351-2391",
"제일동물병원",
"대동동물병원","전라북도 장수군 장계면 한들로 5-9","063-352-5998",
"장계동물병원","전라북도 장수군 장계면 장무로 206","352-0176",
"정동물병원","전라남도 영광군 영광읍 중앙로5길 2",
"제일동물병원","전라남도 영광군 법성면 굴비로 88","061-356-2486",
"전남동물병원","전라남도 영광군 영광읍 천년로 1502",
"박동물병원","전라남도 영광군 영광읍 물무로 174","061-351-2737",
"영광동물병원","전라남도 영광군 영광읍 옥당로 148",
"백수동물병원","전라남도 영광군 백수읍 백수로10길 27","352-7227",
"영광축협동물병원","전라남도 영광군 영광읍 천년로 1452","353-8555",
"구리동물병원","경기도 구리시 검배로 36, 101동 (수택동,현주아이프렌드빌딩)","031-557-9009",
"명문종합동물병원","경기도 구리시 경춘로 188 (수택동)","031-5565-6253",
"애니케어동물병원","경기도 구리시 벌말로 104 (토평동)","031-567-7589",
"화순동물병원","","061-374-2649",
"사평동물병원","","061-372-6024",
"북면동물병원","전라남도 화순군 북면 원리길  6-17",
"서종철동물병원","","061-372-3114",
"백남수동물병원","","061-373-7406",
"능주동물병원","","061-372-1019",
"아리랑동물병원","전라남도 화순군 화순읍 시장길 3 (덕성건설)",
"현대 동물병원","전라북도 장수군 장수읍 교촌로 47-3","063-351-3050",
"무진장축협동물병원","전라북도 장수군 장수읍 중동길 8","063-351-2391",
"제일동물병원",
"대동동물병원","전라북도 장수군 장계면 한들로 5-9","063-352-5998",
"장계동물병원","전라북도 장수군 장계면 장무로 206","352-0176",
"정동물병원","전라남도 영광군 영광읍 중앙로5길 2",
"제일동물병원","전라남도 영광군 법성면 굴비로 88","061-356-2486",
"전남동물병원","전라남도 영광군 영광읍 천년로 1502",
"박동물병원","전라남도 영광군 영광읍 물무로 174","061-351-2737",
"영광동물병원","전라남도 영광군 영광읍 옥당로 148",
"백수동물병원","전라남도 영광군 백수읍 백수로10길 27","352-7227",
"영광축협동물병원","전라남도 영광군 영광읍 천년로 1452","353-8555",
"청수동물병원","전라남도 영광군 영광읍 천년로 1405",
"김동물병원","전라남도 영광군 영광읍 신남로3길 23","061-351-3366",
"장성동물병원",
"우남동물병원","전라남도 장성군 장성읍 청운길 19-1",
"서광동물병원","전라남도 장성군 장성읍 영천로 96-1",
"현대동물병원","전라남도 장성군 장성읍 영천로 137",
"고려동물병원","전라남도 장성군 장성읍 영천로 124","061-393-8181",
"우리동물병원","전라남도 장성군 장성읍 영천로 117-1",
"능주동물병원","","061-372-1019",
"아리랑동물병원","전라남도 화순군 화순읍 시장길 3 (덕성건설)",
"현대 동물병원","전라북도 장수군 장수읍 교촌로 47-3","063-351-3050",
"무진장축협동물병원","전라북도 장수군 장수읍 중동길 8","063-351-2391",
"제일동물병원",
"대동동물병원","전라북도 장수군 장계면 한들로 5-9","063-352-5998",
"장계동물병원","전라북도 장수군 장계면 장무로 206","352-0176",
"정동물병원","전라남도 영광군 영광읍 중앙로5길 2",
"제일동물병원","전라남도 영광군 법성면 굴비로 88","061-356-2486",
"전남동물병원","전라남도 영광군 영광읍 천년로 1502",
"박동물병원","전라남도 영광군 영광읍 물무로 174","061-351-2737",
"영광동물병원","전라남도 영광군 영광읍 옥당로 148",
"백수동물병원","전라남도 영광군 백수읍 백수로10길 27","352-7227",
"영광축협동물병원","전라남도 영광군 영광읍 천년로 1452","353-8555",
"청수동물병원","전라남도 영광군 영광읍 천년로 1405",
"김동물병원","전라남도 영광군 영광읍 신남로3길 23","061-351-3366",
"장성동물병원",
"우남동물병원","전라남도 장성군 장성읍 청운길 19-1",
"서광동물병원","전라남도 장성군 장성읍 영천로 96-1",
"현대동물병원","전라남도 장성군 장성읍 영천로 137",
"고려동물병원","전라남도 장성군 장성읍 영천로 124","061-393-8181",
"우리동물병원","전라남도 장성군 장성읍 영천로 117-1",
"자연낙농동물병원","전라북도 부안군 부안읍 진성길 11","583-1323",
"부안동물병원","전라북도 부안군 부안읍 번영로 161",
"연합동물병원","전라북도 부안군 부안읍 번영로 185",
"제일동물병원","전라북도 부안군 부안읍 번영로 129",
"미래동물약품병원","전라북도 부안군 부안읍 번영로 155",
"부안산업동물병원","전라북도 부안군 부안읍 매산길 1",
"해양수산동물병원","경상남도 통영시  동호로  46-8 (정량동)",
"승원동물병원","","646-6888",
"제일동물병원","전라남도 영광군 법성면 굴비로 88","061-356-2486",
"전남동물병원","전라남도 영광군 영광읍 천년로 1502",
"박동물병원","전라남도 영광군 영광읍 물무로 174","061-351-2737",
"영광동물병원","전라남도 영광군 영광읍 옥당로 148",
"백수동물병원","전라남도 영광군 백수읍 백수로10길 27","352-7227",
"영광축협동물병원","전라남도 영광군 영광읍 천년로 1452","353-8555",
"청수동물병원","전라남도 영광군 영광읍 천년로 1405",
"김동물병원","전라남도 영광군 영광읍 신남로3길 23","061-351-3366",
"장성동물병원",
"우남동물병원","전라남도 장성군 장성읍 청운길 19-1",
"서광동물병원","전라남도 장성군 장성읍 영천로 96-1",
"현대동물병원","전라남도 장성군 장성읍 영천로 137",
"고려동물병원","전라남도 장성군 장성읍 영천로 124","061-393-8181",
"우리동물병원","전라남도 장성군 장성읍 영천로 117-1",
"자연낙농동물병원","전라북도 부안군 부안읍 진성길 11","583-1323",
"부안동물병원","전라북도 부안군 부안읍 번영로 161",
"연합동물병원","전라북도 부안군 부안읍 번영로 185",
"제일동물병원","전라북도 부안군 부안읍 번영로 129",
"미래동물약품병원","전라북도 부안군 부안읍 번영로 155",
"부안산업동물병원","전라북도 부안군 부안읍 매산길 1",
"해양수산동물병원","경상남도 통영시  동호로  46-8 (정량동)",
"승원동물병원","","646-6888",
"통영동물병원","경상남도 통영시 중앙로 88 (서호동)","645-3637",
"충무수산동물병원","","644-4901",
"세종동물병원","경상남도 통영시 무전4길 10 (무전동)","648-1196",
"우리동물병원",
"쿨펫동물병원","경상남도 통영시 광도면 죽림4로 9, 이마트 2층",
"현대수산동물병원",
"사하라동물병원","경상남도 통영시 중앙로 306, 2층 (무전동, (주)한산신문)","055-642-0275",
"24시유앤이동물병원","경상남도 통영시 무전대로 57, 2층 (무전동)","0556487975",
"장성동물병원",
"우남동물병원","전라남도 장성군 장성읍 청운길 19-1",
"서광동물병원","전라남도 장성군 장성읍 영천로 96-1",
"현대동물병원","전라남도 장성군 장성읍 영천로 137",
"고려동물병원","전라남도 장성군 장성읍 영천로 124","061-393-8181",
"우리동물병원","전라남도 장성군 장성읍 영천로 117-1",
